video_id,authorDisplayName,textDisplay
3YeYUoybimM,@vellfiresukaonani,"Hewan yang paling w gk suka yaitu kucing, dulu temen gw pernah sebar nomor oknum penyiksa kucing, eeeh kucing yang ribuan ekor disiksa dilirik giliran hewan di hutan kayak badak babirusa kubung, disiksa pura pura gk liat"
3YeYUoybimM,@AryanihHernawati,"Memberi makan kucing di jalanan adalah salah satu bentuk sedekah yang dianjurkan dalam Islam. Simple tp bermakna, karna kita hidup bukan hanya manusia aja, tp ada hewan2 yg memang membutuhkan bantuan manusia, mereka berburu seperti tikus, kecoa atau hama2 lainnya untuk mereka makan? yaampun kalau kalian mau tauu, hama yg aku sebut td ga bagus untuk pencernaan mereka, bahkan mereka berburu hama2 trsbt agar hama2 itu takut untuk datang lagi, bukan untuk mereka makan, agar kita juga terasa aman tidak ada hama yg merusak peralon rumah, sampah tbtb ada didlm rmh grgr dibawa tikus, jd mksd ku gini, jangan kalian berfikir kucing hewan pemakan tikus, engga ya guys, mereka cm berburu hama2 itu buat dijadikan mainan aja, biar mereka kapok ga mengganggu kenyamanan manusia, itu cara berterima kasih kucing ke manusia simple lho,"
3YeYUoybimM,@arief6801,"Sebelum diberi makan orang/street feeding, apakah kucing liar memiliki naluri berburu sama dengan setelah street feeding berhenti?"
3YeYUoybimM,@letsgoprivat,"awal kucing di sekitaran rumah cuman ada 1 2 saja, tapi semenjak ada tetangga baru sebelah rumah, jadi banyak sekali kucing yang dewasa lebih dari 5 belum yang kecil kecil kayanya ada 12 atau 13 lah, dia kasih makan depan rumahnya di teras, yang jadi masalah teras saya ada mobil sedangkan mobil tetangga tidak ditaruh di terasnya tapi di jalanan atau parkir nyamping makan teras tetangga lain juga (itu juga jarang), jadi terasnya tetangga saya yang kasih makan kucing masih adalah lumayan dibanding saya, apalagi mobil saya jarang digunakan, alhasil kucing kucing pada poop di kolong mobil saya, kalau saya udah bersihin sampe ngolong mobil dan kebauan belum ada semalem udah ada bau tai kucing lagi dan kalau  saya keluarin mobil itu tai kucing bisa sampe 10 spot, itu baru tai kucing, anak anak kucing dan para kucing lahiran di ventilasi rumah saya, berisik ngeong dan jalan terus sampe tengah malem, terus jadi banyak kotoran atap yang jatuh jadi saya bisa 2-3x bersihin, anak-anak kucingnya pada masuk rumah saya, bau sofa gorden dll jadi bau apek kucing, mereka kan lahiran tinggal di ventilasi rumah jadi genteng pada geser untung ga ambruk karna dipanjatin mulu dan lagi lagi debunya dari genteng langsung kebawah kena sepatu karpet dll. saya ngeluh ke suami saya, dia cuman jawab iya nanti di usir kucingnya, saya bilang yang jadi masalah yang ngasih makan kucing kalo dia ga berenti ya kucing makin makin. saya kesel banget kalo denger tetangga ngomong &quot;yang, ini kucingnya belum dikasih makan yang&quot; yang ini yang itu&quot; kalau denger itu saya kesel banget.. kalau ada kucing dia suka deketin dan bilang &quot;ih kamu lucu banget&quot; saya juga kesel. masalahnya dia cuman kasih makan kucing, dia gak mau kucing&quot;itu masuk dalam rumah dan gak mau pegang juga.. akhirnya suami saya begah kali ya karna dia tadinya udah coba pakai kopi dll tapi ga mempan, akhirnya dia tegor tetangga itu, tapi tetangga itu masih ngasih makan kucing karna saya masih lihat di teras rumahnya ada makanan kucing kesebar dilantai, akhirnya lagi tetangga sebelah saya satu lagi juga begah dan pada ngomongin kucing poop dll di depan rumah, sampai suami saya ambil kucing kucing itu masuk ke dalam mobil buat dibuang ke tempat jauh dan tetangga itu liat (yang kasih makan kucing) tapi ga ada kata kata keluar dari dia dan gak ada respon samsek... dan semenjak itu saya gak melihat ada makanan kucing di teras rumahnya dan populasi kucing kembali seperti semula dan ga ada  poop kucing di kolong mobil dll.. 1 lagi yang saya kesel dari tetangga yang ngasih makan kucing, jadi waktu itu dia pergi bawa mobil dan cover mobilnya di taruh di teras rumahnya, lalu cover mobilnya di ee in kucing dan besok paginya cover mobilnya dia langusng dia buang, padahal cover mobil itu masih bagus dan masih baru.... maksud saya dia baru kena tai kucing begitu doang tindakanya langsung begitu, gimana dia jadi saya? makanya sampai sekarang saya ga mau negor suami istri itu.. karna saya kesel banget... buat yang suka kasih makan kucing tolong mikirin populasi kucing di daerah tersebut ganggu tetangga ga? mungkin dia ga ganggu kamu karna kucing juga cukup tau diri kok tapi perhatikan juga tetqangga sekitar, apalagi kamu suami istri bekerja jarang dirumah dan gak pernah ngobrol sama tetangga kiri kanan apalagi..... bukan ngobrol sekedar say hai doang..."
3YeYUoybimM,@KeyshaPuqi,Pantes dibilang emak nggk boleh kasih makan kucing😔🙏
3YeYUoybimM,@indragodwaybali911,"Jika punya rejeki berlebih, bisa didonasikan untuk anak yatim piatu di yayasan 😊"
3YeYUoybimM,@ZeriIskandar,kasih buat makan ular pithon ajah kalo kebanyakan.😅
3YeYUoybimM,@muhammadamirudin4839,Saya suka kucing dan punya 2 kucing dirumah .tp pernyataan ini benar adanya. Kadang cat lover itu kalo di kasih tau ngeyel dan sok paling sayang kucing padahal ini demi kebaikan bersama
3YeYUoybimM,@Bilipochicha,"Sy sudah berhenti street feeding, di rumah ada 7 yg sudah sy adopsi"
3YeYUoybimM,@madesadega8915,Bahas hewan kelinci min.<br>Anaknya di kubur hidup2
